id,name,total_serves,total_aces,total_unret,total_sp1,ace_rate,unret_rate,sp1_rate,serve_eff
56,Norbert Gombos,252,18,12,11,7.142857142857143,4.761904761904762,4.365079365079365,16.27
57,Gavin Van Peperzeel,74,3,0,9,4.054054054054054,0.0,12.162162162162161,16.22
58,Benoit Paire,4455,295,125,302,6.621773288439955,2.8058361391694726,6.778900112233446,16.21
59,Petros Tsitsipas,68,3,1,7,4.411764705882353,1.4705882352941178,10.294117647058824,16.18
60,Alexei Popyrin,2784,214,79,157,7.686781609195402,2.8376436781609193,5.639367816091954,16.16
61,Maxime Cressy,3167,221,54,236,6.978212819703189,1.705083675402589,7.451847173981686,16.14
62,Alexander Zverev,16385,1268,559,808,7.738785474519378,3.4116570033567286,4.931339639914556,16.08
63,Michael Llodra,299,25,0,23,8.361204013377927,0.0,7.6923076923076925,16.05
64,Kristof Vliegen,94,9,0,6,9.574468085106384,0.0,6.382978723404255,15.96
65,Igor Sijsling,182,19,0,10,10.43956043956044,0.0,5.4945054945054945,15.93
66,Saidalo Saidkarimov,44,3,0,4,6.818181818181818,0.0,9.090909090909092,15.91
67,Otto Virtanen,1110,102,15,59,9.18918918918919,1.3513513513513513,5.315315315315315,15.86
68,Nicolas Mahut,1371,122,4,91,8.898614150255288,0.29175784099197666,6.637490882567469,15.83
69,Andy Roddick,11990,1303,136,458,10.867389491242703,1.134278565471226,3.8198498748957466,15.82
70,Patrick Kaukovalta,76,8,2,2,10.526315789473685,2.6315789473684212,2.6315789473684212,15.79
71,Matwe Middelkoop,76,6,0,6,7.894736842105263,0.0,7.894736842105263,15.79
72,Duje Ajdukovic,108,6,1,10,5.555555555555555,0.9259259259259259,9.25925925925926,15.74
73,Max Houkes,121,7,0,12,5.785123966942149,0.0,9.917355371900827,15.7
74,Brayden Schnur,645,54,17,30,8.372093023255815,2.635658914728682,4.651162790697675,15.66
75,Hubert Hurkacz,31691,3200,114,1622,10.097504023224259,0.3597235808273642,5.118172351771796,15.58
76,Uladzimir Ignatik,116,13,0,5,11.206896551724139,0.0,4.310344827586207,15.52
77,Thanasi Kokkinakis,2980,259,52,151,8.691275167785236,1.74496644295302,5.067114093959732,15.5
78,Alexander Waske,84,8,0,5,9.523809523809524,0.0,5.9523809523809526,15.48
79,Vasek Pospisil,1611,123,28,98,7.635009310986964,1.7380509000620732,6.083178150217257,15.46
80,Paradorn Srichaphan,449,41,3,25,9.131403118040089,0.6681514476614699,5.567928730512249,15.37
81,Magnus Larsson,484,51,0,23,10.537190082644628,0.0,4.75206611570248,15.29
82,Patrick Kypson,164,16,0,9,9.75609756097561,0.0,5.487804878048781,15.24
83,Pete Sampras,24056,2119,183,1362,8.808613235783172,0.7607249750581976,5.661789158629864,15.23
84,Jiri Vesely,1104,91,19,58,8.242753623188406,1.7210144927536233,5.253623188405797,15.22
85,Karsten Braasch,198,11,2,17,5.555555555555555,1.0101010101010102,8.585858585858587,15.15
86,Andrew Foster,126,9,1,9,7.142857142857143,0.7936507936507936,7.142857142857143,15.08
87,Marcus Willis,100,6,3,6,6.0,3.0,6.0,15.0
88,Chris Guccione,147,13,0,9,8.843537414965986,0.0,6.122448979591836,14.97
89,Yosuke Watanuki,314,30,4,13,9.554140127388536,1.2738853503184713,4.140127388535032,14.97
90,Pierre Hugues Herbert,1404,87,14,109,6.196581196581197,0.9971509971509972,7.763532763532764,14.96
91,Bob Bryan,87,9,0,4,10.344827586206897,0.0,4.597701149425287,14.94
92,Younes El Aynaoui,516,41,12,24,7.945736434108527,2.3255813953488373,4.651162790697675,14.92
93,Marin Cilic,8445,659,139,461,7.803433984606276,1.6459443457667258,5.458851391355831,14.91
94,Daniel Altmaier,1076,68,39,53,6.319702602230484,3.62453531598513,4.925650557620818,14.87
95,James Trotter,74,7,1,3,9.45945945945946,1.3513513513513513,4.054054054054054,14.86
96,Aleksandar Vukic,1168,103,26,44,8.818493150684931,2.2260273972602738,3.767123287671233,14.81
97,Philipp Petzschner,331,26,10,13,7.854984894259819,3.0211480362537766,3.9274924471299095,14.8
98,Alexander Blockx,142,10,0,11,7.042253521126761,0.0,7.746478873239437,14.79
99,Karen Khachanov,7389,520,201,370,7.037488158072811,2.7202598457166056,5.00744349709027,14.77
100,Werner Eschauer,88,6,0,7,6.818181818181818,0.0,7.954545454545454,14.77
101,Tung Lin Wu,136,6,0,14,4.411764705882353,0.0,10.294117647058824,14.71
102,Francesco Maestrelli,109,6,0,10,5.504587155963303,0.0,9.174311926605505,14.68
103,Aleksandar Kovacevic,709,64,10,30,9.026798307475318,1.4104372355430184,4.231311706629055,14.67
104,Ivan Ljubicic,1746,177,2,77,10.137457044673539,0.1145475372279496,4.41008018327606,14.66
105,Zhizhen Zhang,1986,143,60,88,7.2004028197381675,3.0211480362537766,4.431017119838872,14.65
106,David Wheaton,724,51,5,50,7.044198895027624,0.6906077348066298,6.906077348066298,14.64
107,Mark Kevin Goellner,205,19,0,11,9.268292682926829,0.0,5.365853658536586,14.63
108,Ernests Gulbis,1956,171,20,95,8.742331288343559,1.0224948875255624,4.856850715746421,14.62
109,Luciano Darderi,725,35,29,42,4.827586206896552,4.0,5.793103448275862,14.62
110,Fabian Marozsan,1315,60,46,86,4.562737642585551,3.4980988593155895,6.5399239543726235,14.6
111,Grega Zemlja,62,7,0,2,11.290322580645162,0.0,3.225806451612903,14.52
112,Max Purcell,730,61,6,39,8.356164383561644,0.821917808219178,5.342465753424658,14.52
113,Peter Fajta,62,4,1,4,6.451612903225806,1.6129032258064515,6.451612903225806,14.52
114,Matteo Martineau,138,7,7,6,5.072463768115942,5.072463768115942,4.3478260869565215,14.49
115,Arthur Cazaux,787,73,14,27,9.275730622617536,1.7789072426937738,3.4307496823379924,14.49
116,Stefanos Tsitsipas,18936,1205,455,1078,6.363540346430081,2.4028305872412337,5.692860160540769,14.46
117,Federico Gaio,173,11,0,14,6.358381502890174,0.0,8.092485549132949,14.45
118,Thiago Monteiro,1082,64,38,54,5.914972273567468,3.512014787430684,4.990757855822551,14.42
119,Tallon Griekspoor,8909,605,129,551,6.79088562128185,1.4479739589179481,6.184756987316197,14.42
120,Greg Rusedski,2014,140,18,132,6.951340615690169,0.8937437934458788,6.554121151936445,14.4
121,Yannick Hanfmann,969,43,47,49,4.437564499484004,4.8503611971104235,5.056759545923633,14.34
122,Joakim Nystrom,266,11,6,21,4.135338345864661,2.255639097744361,7.894736842105263,14.29
123,Neil Borwick,182,15,2,9,8.241758241758241,1.098901098901099,4.945054945054945,14.29
124,Jerzy Janowicz,939,66,11,57,7.0287539936102235,1.1714589989350372,6.0702875399361025,14.27
125,Lukas Lacko,429,28,8,25,6.526806526806527,1.8648018648018647,5.827505827505828,14.22
126,Goncalo Oliveira,289,15,1,25,5.190311418685121,0.3460207612456747,8.650519031141869,14.19
127,Roman Safiullin,1504,89,33,91,5.917553191489362,2.1941489361702127,6.050531914893617,14.16
128,Dustin Brown,1459,85,7,114,5.825908156271419,0.47978067169294036,7.813570938999314,14.12
129,James Mccabe,156,13,1,8,8.333333333333334,0.6410256410256411,5.128205128205129,14.1
130,Tristan Schoolkate,306,20,5,18,6.5359477124183005,1.6339869281045751,5.882352941176471,14.05
131,Kristian Pless,114,12,0,4,10.526315789473685,0.0,3.508771929824561,14.04
132,Daniil Medvedev,25692,1900,684,1017,7.395298147283201,2.6623073330219524,3.958430639887903,14.02
133,Brandon Nakashima,2600,170,77,117,6.538461538461538,2.9615384615384617,4.5,14.0
134,Hugo Grenier,223,17,0,14,7.623318385650224,0.0,6.278026905829597,13.9
135,Rogerio Dutra Silva,36,2,0,3,5.555555555555555,0.0,8.333333333333334,13.89
136,Joao Souza,72,2,0,8,2.7777777777777777,0.0,11.11111111111111,13.89
137,Jeremy Chardy,2270,159,35,121,7.004405286343612,1.5418502202643172,5.330396475770925,13.88
138,Roger Federer,70432,4895,477,4396,6.949965924579736,0.6772489777373921,6.241481144934121,13.87
139,Sandro Ehrat,101,7,0,7,6.930693069306931,0.0,6.930693069306931,13.86
140,Marius Copil,514,44,3,24,8.560311284046692,0.5836575875486382,4.669260700389105,13.81
141,Dominic Stricker,500,29,6,34,5.8,1.2,6.8,13.8
142,Vladimir Ivanov,262,18,2,16,6.870229007633588,0.7633587786259542,6.106870229007634,13.74
143,Jan Siemerink,233,6,6,20,2.575107296137339,2.575107296137339,8.583690987124463,13.73
144,Jo Wilfried Tsonga,7858,614,60,405,7.813693051667091,0.7635530669381522,5.153983201832528,13.73
145,Ruben Gonzales,51,5,0,2,9.803921568627452,0.0,3.9215686274509802,13.73
146,Ze Zhang,204,15,2,11,7.352941176470588,0.9803921568627451,5.392156862745098,13.73
147,Jack Draper,1877,122,45,89,6.499733617474694,2.3974427277570594,4.74160895045285,13.64
148,Marc Andrea Huesler,998,74,4,58,7.414829659318637,0.40080160320641284,5.811623246492986,13.63
149,Alejandro Tabilo,1379,64,46,78,4.641044234952864,3.335750543872371,5.656272661348804,13.63
150,Jack Sock,1708,92,40,100,5.386416861826698,2.34192037470726,5.85480093676815,13.58
151,Kevin King,988,66,1,67,6.680161943319838,0.10121457489878542,6.781376518218623,13.56
152,Julien Benneteau,369,27,5,18,7.317073170731708,1.3550135501355014,4.878048780487805,13.55
